isbn,title,authors,publisher,publishedYear,genre,totalCopies,availableCopies,location,description
"978-6-47-466494-7","The Mystery of the Crown","George Brown","TechPress","2007","History",4,4,"Aisle 2, Shelf E","A fascinating exploration of history through the lens of the mystery of the crown."
"978-2-56-48186-7","Shadows over the Deep","Quinn Wilson","Macmillan","2002","Science Fiction",7,3,"Aisle 5, Shelf C","A fascinating exploration of science fiction through the lens of shadows over the deep."
"978-8-29-176697-2","Secrets of the Deep","Diana Robinson","Macmillan","1996","History",8,2,"Aisle 8, Shelf A","A fascinating exploration of history through the lens of secrets of the deep."
"978-3-2-6366-4","Visions of the Galaxy","Mike Harris","Penguin","1997","History",2,1,"Aisle 8, Shelf E","A fascinating exploration of history through the lens of visions of the galaxy."
"978-2-22-150719-8","Echoes from the City","Diana Anderson","Scribner","2008","Technology",8,7,"Aisle 3, Shelf E","A fascinating exploration of technology through the lens of echoes from the city."
"978-0-14-474669-3","The Fall of the City","Paula White","Scribner","1992","Fantasy",9,6,"Aisle 4, Shelf A","A fascinating exploration of fantasy through the lens of the fall of the city."
"978-6-50-359243-0","The Fall of the Deep","Hannah Davis","Scribner","1998","Science Fiction",8,6,"Aisle 10, Shelf B","A fascinating exploration of science fiction through the lens of the fall of the deep."
"978-2-31-203276-8","Echoes from the Crown","Julia Martinez","Penguin","1991","Fantasy",10,1,"Aisle 7, Shelf D","A fascinating exploration of fantasy through the lens of echoes from the crown."
"978-4-53-478613-4","Journey to the Horizon","Paula Martinez","Macmillan","1999","Technology",7,6,"Aisle 1, Shelf B","A fascinating exploration of technology through the lens of journey to the horizon."
"978-8-18-703979-0","Visions of the Galaxy","Tina Robinson","Penguin","2009","Mystery",9,5,"Aisle 4, Shelf A","A fascinating exploration of mystery through the lens of visions of the galaxy."
"978-3-68-857503-6","Echoes from the Deep","Zara Davis","Macmillan","2008","Science Fiction",5,2,"Aisle 3, Shelf C","A fascinating exploration of science fiction through the lens of echoes from the deep."
"978-8-10-272847-6","Echoes from Tomorrow","Kevin Martinez","TechPress","1994","Mystery",1,1,"Aisle 2, Shelf E","A fascinating exploration of mystery through the lens of echoes from tomorrow."
"978-4-57-778388-5","Visions of the Deep","Tina Johnson","Scribner","2006","Technology",4,0,"Aisle 9, Shelf C","A fascinating exploration of technology through the lens of visions of the deep."
"978-5-4-801277-5","The Mystery of the Horizon","Xena Martinez","TechPress","2018","History",10,9,"Aisle 3, Shelf D","A fascinating exploration of history through the lens of the mystery of the horizon."
"978-7-39-546950-7","Rise of Winter","Victoria Harris","Harper","2006","Science Fiction",9,2,"Aisle 9, Shelf B","A fascinating exploration of science fiction through the lens of rise of winter."
"978-1-57-520487-4","Journey to the Ancients","Yusuf Anderson","TechPress","2006","Fantasy",9,5,"Aisle 8, Shelf C","A fascinating exploration of fantasy through the lens of journey to the ancients."
"978-2-41-697221-5","Echoes from Tomorrow","Xena Miller","Harper","1998","Technology",1,1,"Aisle 2, Shelf B","A fascinating exploration of technology through the lens of echoes from tomorrow."
"978-8-34-48295-1","Echoes from the Ancients","Hannah Thompson","Macmillan","1992","Science Fiction",10,7,"Aisle 4, Shelf D","A fascinating exploration of science fiction through the lens of echoes from the ancients."
"978-3-29-854146-5","Secrets of the Galaxy","Will Anderson","Macmillan","1995","History",1,1,"Aisle 1, Shelf E","A fascinating exploration of history through the lens of secrets of the galaxy."
"978-6-73-46769-4","The Mystery of the Horizon","Rachel Thomas","Harper","1994","Fantasy",8,5,"Aisle 9, Shelf A","A fascinating exploration of fantasy through the lens of the mystery of the horizon."
"978-2-57-785224-2","Journey to Tomorrow","Alice Jackson","Macmillan","1998","Self-Help",8,4,"Aisle 6, Shelf B","A fascinating exploration of self-help through the lens of journey to tomorrow."
"978-2-24-834589-5","Visions of the Deep","Quinn Garcia","Macmillan","2010","Technology",4,2,"Aisle 3, Shelf C","A fascinating exploration of technology through the lens of visions of the deep."
"978-8-87-756133-8","The Mystery of the Galaxy","Xena Jones","Macmillan","1999","Science Fiction",8,1,"Aisle 9, Shelf C","A fascinating exploration of science fiction through the lens of the mystery of the galaxy."
"978-8-41-731629-5","Journey to the Horizon","Yusuf Martinez","TechPress","2011","Technology",7,2,"Aisle 5, Shelf C","A fascinating exploration of technology through the lens of journey to the horizon."
"978-3-9-15746-6","Secrets of Winter","Xena Anderson","Scribner","2016","Science Fiction",8,8,"Aisle 7, Shelf E","A fascinating exploration of science fiction through the lens of secrets of winter."
"978-0-8-103214-4","The Fall of the Ancients","Paula Moore","Macmillan","2002","Fantasy",8,6,"Aisle 6, Shelf E","A fascinating exploration of fantasy through the lens of the fall of the ancients."
"978-1-58-138131-2","The Fall of Winter","George White","Penguin","1994","History",3,3,"Aisle 7, Shelf E","A fascinating exploration of history through the lens of the fall of winter."
"978-7-4-483677-8","The Fall of Tomorrow","Yusuf Thomas","Macmillan","2013","History",7,0,"Aisle 5, Shelf A","A fascinating exploration of history through the lens of the fall of tomorrow."
"978-6-39-712810-7","Visions of Winter","Ian Smith","TechPress","1998","Mystery",5,1,"Aisle 2, Shelf A","A fascinating exploration of mystery through the lens of visions of winter."
"978-2-34-204705-0","Secrets of the Crown","Rachel Moore","Harper","1994","Mystery",4,1,"Aisle 8, Shelf B","A fascinating exploration of mystery through the lens of secrets of the crown."
"978-1-13-738310-2","Echoes from the Deep","Zara Martin","TechPress","2015","Biography",6,4,"Aisle 1, Shelf D","A fascinating exploration of biography through the lens of echoes from the deep."
"978-1-32-560148-8","Rise of the Crown","Ian Garcia","Macmillan","2017","Fantasy",6,3,"Aisle 4, Shelf B","A fascinating exploration of fantasy through the lens of rise of the crown."
"978-3-82-19708-7","The Mystery of the Horizon","Diana Moore","TechPress","2016","History",6,1,"Aisle 8, Shelf C","A fascinating exploration of history through the lens of the mystery of the horizon."
"978-7-55-527744-2","Secrets of the Horizon","Ian Martinez","Penguin","2018","Science Fiction",8,5,"Aisle 4, Shelf A","A fascinating exploration of science fiction through the lens of secrets of the horizon."
"978-0-14-276123-8","Secrets of the Deep","Tina Harris","TechPress","2004","Biography",4,3,"Aisle 2, Shelf B","A fascinating exploration of biography through the lens of secrets of the deep."
"978-4-15-742929-0","Echoes from the Galaxy","Xena Miller","TechPress","2014","Mystery",3,3,"Aisle 8, Shelf D","A fascinating exploration of mystery through the lens of echoes from the galaxy."
"978-7-10-217460-5","Echoes from the Crown","Rachel Wilson","TechPress","1993","Fantasy",4,1,"Aisle 10, Shelf C","A fascinating exploration of fantasy through the lens of echoes from the crown."
"978-7-6-812322-8","The Fall of Tomorrow","Fiona White","Harper","2012","Fantasy",8,6,"Aisle 10, Shelf A","A fascinating exploration of fantasy through the lens of the fall of tomorrow."
"978-1-42-212503-0","Visions of Tomorrow","Xena Thomas","TechPress","2003","History",2,2,"Aisle 7, Shelf B","A fascinating exploration of history through the lens of visions of tomorrow."
"978-3-31-705758-6","The Mystery of the Horizon","Hannah Miller","Harper","2006","History",4,0,"Aisle 9, Shelf B","A fascinating exploration of history through the lens of the mystery of the horizon."
"978-7-17-277409-3","Shadows over Tomorrow","Laura Wilson","Harper","2017","Fantasy",3,2,"Aisle 8, Shelf B","A fascinating exploration of fantasy through the lens of shadows over tomorrow."
"978-1-12-830721-5","Shadows over Winter","Evan Robinson","TechPress","2013","History",9,3,"Aisle 10, Shelf D","A fascinating exploration of history through the lens of shadows over winter."
"978-7-36-751530-7","Visions of the Ancients","Quinn Anderson","Macmillan","2014","Self-Help",1,0,"Aisle 8, Shelf D","A fascinating exploration of self-help through the lens of visions of the ancients."
"978-3-78-91223-5","Visions of the Crown","Kevin Brown","Scribner","2002","Science Fiction",1,1,"Aisle 9, Shelf B","A fascinating exploration of science fiction through the lens of visions of the crown."
"978-1-74-527842-7","Secrets of Tomorrow","George Smith","Scribner","2017","Technology",8,8,"Aisle 5, Shelf D","A fascinating exploration of technology through the lens of secrets of tomorrow."
"978-3-77-353426-6","Shadows over the Deep","Xena Harris","TechPress","1998","Fantasy",6,3,"Aisle 6, Shelf C","A fascinating exploration of fantasy through the lens of shadows over the deep."
"978-0-62-502188-0","Rise of the City","Zara Harris","Scribner","2018","Technology",1,0,"Aisle 8, Shelf E","A fascinating exploration of technology through the lens of rise of the city."
"978-7-36-557712-4","The Fall of the Ancients","Tina Brown","Macmillan","1995","Fantasy",10,4,"Aisle 2, Shelf B","A fascinating exploration of fantasy through the lens of the fall of the ancients."
"978-4-45-51502-6","Echoes from the Deep","Zara Garcia","Macmillan","1992","Self-Help",9,7,"Aisle 6, Shelf B","A fascinating exploration of self-help through the lens of echoes from the deep."
"978-7-35-745002-0","Rise of the City","Ian Taylor","TechPress","2016","Science Fiction",9,7,"Aisle 2, Shelf E","A fascinating exploration of science fiction through the lens of rise of the city."
"978-2-51-368320-7","Visions of the Crown","Zara Martinez","Penguin","2002","History",2,2,"Aisle 10, Shelf E","A fascinating exploration of history through the lens of visions of the crown."
"978-7-12-159935-2","Secrets of the Crown","Ian Miller","Harper","1996","History",6,3,"Aisle 2, Shelf D","A fascinating exploration of history through the lens of secrets of the crown."
"978-8-68-811758-4","The Mystery of the City","Paula Wilson","Harper","2019","Self-Help",1,1,"Aisle 5, Shelf E","A fascinating exploration of self-help through the lens of the mystery of the city."
"978-8-11-324065-5","Shadows over the Deep","Will White","Harper","1996","Science Fiction",1,1,"Aisle 8, Shelf E","A fascinating exploration of science fiction through the lens of shadows over the deep."
"978-6-42-94792-0","Journey to the Ancients","Laura Brown","Penguin","2018","Technology",3,1,"Aisle 3, Shelf E","A fascinating exploration of technology through the lens of journey to the ancients."
"978-4-26-230264-6","Rise of the Horizon","Sam Anderson","Macmillan","2012","Technology",8,4,"Aisle 6, Shelf A","A fascinating exploration of technology through the lens of rise of the horizon."
"978-2-47-789756-0","Visions of Tomorrow","Ulysses White","TechPress","2017","Biography",5,4,"Aisle 4, Shelf C","A fascinating exploration of biography through the lens of visions of tomorrow."
"978-0-44-192924-3","Echoes from the City","Quinn Jones","TechPress","2008","Self-Help",8,1,"Aisle 5, Shelf A","A fascinating exploration of self-help through the lens of echoes from the city."
"978-1-59-142156-0","The Mystery of the Crown","Diana Johnson","Penguin","2017","Mystery",2,0,"Aisle 1, Shelf D","A fascinating exploration of mystery through the lens of the mystery of the crown."
"978-5-79-221004-4","Secrets of Tomorrow","Nina White","Macmillan","2009","Science Fiction",1,1,"Aisle 10, Shelf A","A fascinating exploration of science fiction through the lens of secrets of tomorrow."
"978-2-30-682204-1","Shadows over the Crown","Xena Robinson","Harper","1992","Technology",1,1,"Aisle 9, Shelf B","A fascinating exploration of technology through the lens of shadows over the crown."
"978-1-50-625815-2","Journey to the Horizon","Quinn Taylor","Macmillan","1994","History",9,4,"Aisle 3, Shelf D","A fascinating exploration of history through the lens of journey to the horizon."
"978-1-65-468772-6","The Fall of Winter","Oscar Wilson","Harper","2008","History",5,3,"Aisle 9, Shelf D","A fascinating exploration of history through the lens of the fall of winter."
"978-1-54-633493-5","Rise of the Galaxy","Julia Harris","Penguin","1997","Biography",7,1,"Aisle 10, Shelf A","A fascinating exploration of biography through the lens of rise of the galaxy."
"978-4-17-136399-8","Rise of Winter","Zara Williams","Penguin","1996","Biography",7,5,"Aisle 4, Shelf D","A fascinating exploration of biography through the lens of rise of winter."
"978-0-10-774207-2","Shadows over the Ancients","Zara Anderson","TechPress","2010","Mystery",1,0,"Aisle 8, Shelf B","A fascinating exploration of mystery through the lens of shadows over the ancients."
"978-1-75-170749-2","Shadows over the City","Julia Thompson","Harper","1996","Science Fiction",6,0,"Aisle 6, Shelf E","A fascinating exploration of science fiction through the lens of shadows over the city."
"978-3-16-417390-0","The Fall of the City","Fiona Martin","Penguin","1998","Science Fiction",7,2,"Aisle 10, Shelf A","A fascinating exploration of science fiction through the lens of the fall of the city."
"978-5-1-307213-7","The Mystery of the Deep","Yusuf Robinson","Scribner","2004","History",1,0,"Aisle 7, Shelf E","A fascinating exploration of history through the lens of the mystery of the deep."
"978-0-13-362899-1","Shadows over the Horizon","Laura Harris","Harper","1997","Technology",5,0,"Aisle 2, Shelf E","A fascinating exploration of technology through the lens of shadows over the horizon."
"978-1-31-441802-3","The Mystery of the Deep","Mike Jackson","TechPress","1992","Science Fiction",4,3,"Aisle 5, Shelf D","A fascinating exploration of science fiction through the lens of the mystery of the deep."
"978-3-71-479853-4","Rise of the City","Oscar Brown","Harper","1993","Biography",2,0,"Aisle 1, Shelf D","A fascinating exploration of biography through the lens of rise of the city."
"978-1-72-30396-0","Journey to Winter","Bob Robinson","Penguin","2007","Mystery",2,2,"Aisle 2, Shelf C","A fascinating exploration of mystery through the lens of journey to winter."
"978-0-13-588137-2","The Mystery of the Galaxy","Alice Robinson","Scribner","2011","Fantasy",8,1,"Aisle 3, Shelf E","A fascinating exploration of fantasy through the lens of the mystery of the galaxy."
"978-6-3-556413-4","The Mystery of Winter","Victoria Martinez","Macmillan","2012","History",8,2,"Aisle 3, Shelf E","A fascinating exploration of history through the lens of the mystery of winter."
"978-7-2-77788-8","Echoes from the Ancients","Kevin Thomas","Scribner","1997","Self-Help",4,4,"Aisle 9, Shelf D","A fascinating exploration of self-help through the lens of echoes from the ancients."
"978-7-8-168224-8","Visions of the Ancients","Will Harris","Macmillan","1999","Self-Help",4,1,"Aisle 2, Shelf E","A fascinating exploration of self-help through the lens of visions of the ancients."
"978-8-16-545565-1","Visions of the Galaxy","Diana Harris","Macmillan","2009","Mystery",6,4,"Aisle 8, Shelf D","A fascinating exploration of mystery through the lens of visions of the galaxy."
"978-6-0-85220-0","The Fall of the Crown","Nina White","Scribner","2018","Self-Help",10,0,"Aisle 7, Shelf C","A fascinating exploration of self-help through the lens of the fall of the crown."
"978-5-77-243610-2","The Fall of the Horizon","Oscar Jackson","Macmillan","2008","Mystery",8,5,"Aisle 6, Shelf E","A fascinating exploration of mystery through the lens of the fall of the horizon."
"978-2-63-815894-6","The Fall of the Horizon","Rachel Garcia","Penguin","2008","Mystery",10,6,"Aisle 4, Shelf D","A fascinating exploration of mystery through the lens of the fall of the horizon."
"978-2-22-845020-6","Visions of the Ancients","Rachel Martin","Harper","2000","Mystery",7,7,"Aisle 7, Shelf D","A fascinating exploration of mystery through the lens of visions of the ancients."
"978-6-26-590200-2","Echoes from Winter","Victoria Brown","TechPress","1999","Biography",10,8,"Aisle 8, Shelf D","A fascinating exploration of biography through the lens of echoes from winter."
"978-5-71-878490-3","Visions of the Horizon","Diana Miller","TechPress","2000","Self-Help",8,7,"Aisle 1, Shelf E","A fascinating exploration of self-help through the lens of visions of the horizon."
"978-0-28-448578-4","Secrets of Tomorrow","Quinn Williams","Penguin","1999","Mystery",10,10,"Aisle 4, Shelf A","A fascinating exploration of mystery through the lens of secrets of tomorrow."
"978-5-44-342690-0","The Fall of the Galaxy","Diana Davis","Macmillan","2006","Mystery",1,1,"Aisle 1, Shelf B","A fascinating exploration of mystery through the lens of the fall of the galaxy."
"978-8-54-657082-6","Shadows over the Deep","Bob Williams","Penguin","2001","Biography",8,0,"Aisle 2, Shelf A","A fascinating exploration of biography through the lens of shadows over the deep."
"978-0-1-357746-3","Secrets of Winter","Ian Williams","Harper","2011","Fantasy",9,8,"Aisle 6, Shelf C","A fascinating exploration of fantasy through the lens of secrets of winter."
"978-1-42-163432-2","The Fall of the City","Zara Davis","Penguin","1992","Science Fiction",4,2,"Aisle 4, Shelf C","A fascinating exploration of science fiction through the lens of the fall of the city."
"978-3-30-548500-8","Journey to the Ancients","Bob Wilson","Scribner","2016","Biography",2,1,"Aisle 2, Shelf E","A fascinating exploration of biography through the lens of journey to the ancients."
"978-5-36-896226-0","Secrets of the Horizon","Paula Wilson","TechPress","2012","Science Fiction",1,0,"Aisle 8, Shelf B","A fascinating exploration of science fiction through the lens of secrets of the horizon."
"978-3-69-851216-3","Secrets of Winter","Bob Garcia","Harper","2001","Science Fiction",10,7,"Aisle 8, Shelf E","A fascinating exploration of science fiction through the lens of secrets of winter."
"978-0-56-678572-6","Echoes from the Horizon","Kevin Martinez","Penguin","2002","Mystery",5,1,"Aisle 10, Shelf D","A fascinating exploration of mystery through the lens of echoes from the horizon."
"978-8-55-670867-8","Echoes from the Horizon","Kevin Taylor","Penguin","2013","Self-Help",10,1,"Aisle 4, Shelf C","A fascinating exploration of self-help through the lens of echoes from the horizon."
"978-8-17-42424-3","Echoes from the Ancients","Paula Wilson","Harper","2009","Technology",1,0,"Aisle 8, Shelf D","A fascinating exploration of technology through the lens of echoes from the ancients."
"978-6-42-870139-1","Secrets of Tomorrow","Quinn Williams","TechPress","2019","History",2,2,"Aisle 10, Shelf A","A fascinating exploration of history through the lens of secrets of tomorrow."
"978-5-38-577968-3","The Mystery of the City","Paula Anderson","Penguin","2008","Biography",9,8,"Aisle 8, Shelf E","A fascinating exploration of biography through the lens of the mystery of the city."
"978-2-58-353263-0","Visions of the Deep","Bob Moore","Penguin","1997","Fantasy",6,3,"Aisle 9, Shelf C","A fascinating exploration of fantasy through the lens of visions of the deep."
"978-0-29-526146-3","The Fall of the City","Sam Brown","Penguin","2007","Science Fiction",4,3,"Aisle 3, Shelf B","A fascinating exploration of science fiction through the lens of the fall of the city."
"978-2-23-717658-4","Shadows over Tomorrow","Victoria Johnson","Harper","2009","Science Fiction",5,4,"Aisle 6, Shelf B","A fascinating exploration of science fiction through the lens of shadows over tomorrow."
